"HåvardBergesenDalen","NA","NA","NA","NA","NA","NA","NA","NA"
"PasqualePavone","RiccardoRighi","SimoneRighi","MargheritaRusso","NA","NA","NA","NA","NA"
"MariaProsperinaVitale","GiuseppeGiordano","GiancarloRagozini","NA","NA","NA","NA","NA","NA"
"LucaRossi","ObaidaHanteer","MatteoMagnani","NA","NA","NA","NA","NA","NA"
"SimonChristoph","IlonaRelikowski","NA","NA","NA","NA","NA","NA","NA"
"ZolaKappauf","NinaKolleck","NA","NA","NA","NA","NA","NA","NA"
"MarcSarazin","NA","NA","NA","NA","NA","NA","NA","NA"
"StefanieMartin","ChristophHelm","NA","NA","NA","NA","NA","NA","NA"
"BernhardReinsberg","SimoneDietrich","MartinSteinwand","NA","NA","NA","NA","NA","NA"
"InaSchmidt","NA","NA","NA","NA","NA","NA","NA","NA"
"JamesHollway","ChristophStadtfeld","NA","NA","NA","NA","NA","NA","NA"
"PaolaTubaro","NA","NA","NA","NA","NA","NA","NA","NA"
"MauricioAngel","EnriqueEguren","AliceNah","NA","NA","NA","NA","NA","NA"
"IvanoFrankivskKyiv","KharkivLviv","OdesaMariiaGryshchenko","NA","NA","NA","NA","NA","NA"
"EmanuelDeutschman","JanDelhey","MonikaVerbalyte","AukeAplowski","NA","NA","NA","NA","NA"
"AlineFedermann","MarinaHennig","NA","NA","NA","NA","NA","NA","NA"
"DominikaCzerniawska","MichałBojanowski","NA","NA","NA","NA","NA","NA","NA"
"PaolaZappa","NA","NA","NA","NA","NA","NA","NA","NA"
"NataliyaMatveeva","OlegPoldin","NA","NA","NA","NA","NA","NA","NA"
"PryankaBoerio","NA","NA","NA","NA","NA","NA","NA","NA"
"YangchihFu","MingYiChang","JingShiangHwang","NA","NA","NA","NA","NA","NA"
"TaChienChan","TsoJungYen","TsueyHwaHu","YangchihFu","JingShiangHwang","NA","NA","NA","NA"
"IrinaGewinner","NA","NA","NA","NA","NA","NA","NA","NA"
"NinaJung","NA","NA","NA","NA","NA","NA","NA","NA"
"EelkeHeemskerk","KevinYoung","FrankTakes","BruceCronin","JavierGarciaBernardo","VladimirPopov","WilliamWinecoff","LasseFolkeHenriksen","AudreyLaurinLamothe"
"FrankTakes","NA","NA","NA","NA","NA","NA","NA","NA"
"AntonGrauLarsen","LasseFolkeHenriksen","ChristophHoumanEllersgaard","NA","NA","NA","NA","NA","NA"
"JoukeHuijzer","NA","NA","NA","NA","NA","NA","NA","NA"
"DimitrisChristopoulos","NA","NA","NA","NA","NA","NA","NA","NA"
"RonaldBreiger","JuliaSmith","NA","NA","NA","NA","NA","NA","NA"
"MarioDiani","NA","NA","NA","NA","NA","NA","NA","NA"
"PatriciaCaberoTapia","NA","NA","NA","NA","NA","NA","NA","NA"
"GabrieleFohr","BertDrosteFranke","NA","NA","NA","NA","NA","NA","NA"
"OliverWieczorek","RaphaelHeiberger","NA","NA","NA","NA","NA","NA","NA"
"JudithHartstein","DanielSirtes","NA","NA","NA","NA","NA","NA","NA"
"JohnIsrailidis","EsmeHookway","DavidTrigg","AndrewJackson","NA","NA","NA","NA","NA"
"AkorOpaluwah","NA","NA","NA","NA","NA","NA","NA","NA"
"BeateVolker","NA","NA","NA","NA","NA","NA","NA","NA"
"SeanRWhite","AndrewParker","NA","NA","NA","NA","NA","NA","NA"
"JoséLuisMolina","MirandaJLubbers","AshtonVerdery","MarianGabrielHancean","IsidroMayaJariego","JuergenLerner","AdrianaSuiu","IgnacioFradejasGarcía","NatxoSorolla"
"SörenPetermann","NA","NA","NA","NA","NA","NA","NA","NA"
"PhilipRoth","NA","NA","NA","NA","NA","NA","NA","NA"
"JavierGarciaBernardo","JanFichtner","EelkeHeemskerk","FrankTakes","NA","NA","NA","NA","NA"
"ChristophHoumanEllersgaard","AntonGrauLarsen","LasseFolkeHenriksen","JacobAagaardLunding","NA","NA","NA","NA","NA"
"DiliaraValeeva","NA","NA","NA","NA","NA","NA","NA","NA"
"LasseFolkeHenriksen","AntonGrauLarsen","ChristophHoumanEllersgaard","NA","NA","NA","NA","NA","NA"
